,Soil Moisture,Temperature, Soil Humidity,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa)
0,54.0,22.0,70.0,19.52,2.13,55.04,6.3,101.5
1,12.0,20.0,40.0,19.49,2.01,55.17,10.46,101.5
2,34.0,26.0,35.0,19.47,1.9,55.3,14.63,101.51
3,7.0,44.0,44.0,19.54,2.28,54.2,16.08,101.51
4,50.0,38.0,23.0,19.61,2.66,53.09,17.52,101.51
5,4.0,26.0,52.0,19.67,2.51,51.91,14.69,101.51
6,15.0,34.0,58.0,19.74,2.36,50.72,11.85,101.5
7,45.0,30.0,43.0,19.8,2.21,49.54,9.02,101.5
8,47.0,4.0,42.0,19.91,2.46,47.7,7.23,101.5
9,19.0,41.0,22.0,20.02,2.71,45.86,5.44,101.5
10,63.0,44.0,65.0,20.1,2.8,44.76,6.29,101.5
11,88.0,34.0,41.0,20.19,2.89,43.67,7.14,101.49
12,39.0,20.0,70.0,20.3,3.0,42.56,11.96,101.49
13,65.0,43.0,44.0,20.41,3.11,41.44,16.78,101.49
14,50.0,27.0,50.0,20.41,3.5,41.58,17.48,101.48
15,39.0,22.0,48.0,20.41,3.9,41.71,18.18,101.48
16,18.0,33.0,44.0,20.61,4.74,40.34,23.04,101.48
17,66.0,43.0,35.0,20.81,5.58,38.96,27.91,101.48
18,68.0,25.0,59.0,20.93,5.74,37.33,26.29,101.48
19,20.0,36.0,53.0,21.06,5.89,35.69,24.67,101.48
20,40.0,17.0,35.0,21.18,6.04,34.06,23.05,101.47
21,2.0,34.0,64.0,21.3,6.2,32.42,21.43,101.47
22,22.0,35.0,32.0,21.35,6.06,31.07,21.84,101.46
23,1.0,19.0,70.0,21.4,5.93,29.72,22.26,101.46
24,5.0,23.0,27.0,21.44,5.8,28.38,22.67,101.46
25,10.0,28.0,30.0,21.49,5.66,27.03,23.08,101.45
26,25.0,13.0,66.0,21.56,7.11,26.62,36.03,101.44
27,20.0,45.0,61.0,21.62,8.56,26.22,48.98,101.43
28,40.0,29.0,39.0,21.66,8.89,25.72,48.02,101.42
29,26.0,13.0,70.0,21.69,9.21,25.21,47.06,101.41
30,71.0,6.0,59.0,21.48,8.76,25.8,46.17,101.4
31,37.0,21.0,24.0,21.28,8.32,26.39,45.28,101.4
32,76.0,12.0,47.0,21.3,8.61,25.53,46.64,101.39
33,44.0,24.0,45.0,21.32,8.9,24.67,48.0,101.38
34,24.0,8.0,47.0,21.28,8.22,24.32,45.43,101.38
35,70.0,6.0,63.0,21.24,7.53,23.96,42.86,101.37
36,32.0,23.0,28.0,21.2,7.7,23.81,42.14,101.36
37,44.0,24.0,39.0,21.16,7.87,23.66,41.43,101.36
38,4.0,45.0,49.0,21.13,8.04,23.5,40.72,101.35
39,63.0,40.0,48.0,21.09,8.21,23.35,40.0,101.35
40,49.0,29.0,55.0,21.1,8.33,23.09,41.54,101.35
41,26.0,32.0,70.0,21.11,8.46,22.84,43.08,101.34
42,58.0,32.0,38.0,21.12,8.58,22.58,44.61,101.34
43,45.0,0.0,69.0,21.13,8.7,22.32,46.15,101.34
44,37.0,7.0,32.0,20.94,7.26,22.58,38.26,101.34
45,16.0,44.0,57.0,20.76,5.82,22.83,30.38,101.34
46,75.0,2.0,31.0,20.56,5.31,23.4,27.83,101.34
47,82.0,16.0,62.0,20.36,4.8,23.97,25.28,101.34
48,72.0,28.0,21.0,20.15,4.28,24.54,22.72,101.33
49,53.0,1.0,51.0,19.95,3.77,25.11,20.17,101.33
50,13.0,24.0,48.0,19.71,3.73,26.29,13.57,101.34
51,41.0,18.0,34.0,19.47,3.69,27.47,6.96,101.34
52,53.0,2.0,30.0,19.32,3.44,27.99,9.76,101.34
53,76.0,14.0,48.0,19.18,3.18,28.51,12.57,101.34
54,9.0,36.0,37.0,19.21,3.87,28.64,12.88,101.34
55,66.0,1.0,56.0,19.24,4.56,28.77,13.19,101.34
56,12.0,16.0,25.0,19.17,4.86,29.56,15.48,101.34
57,29.0,10.0,67.0,19.1,5.16,30.36,17.78,101.33
58,37.0,34.0,57.0,19.02,4.45,31.01,17.78,101.33
59,8.0,28.0,67.0,18.93,3.74,31.66,17.78,101.33
60,55.0,1.0,68.0,18.74,3.55,31.96,13.49,101.33
61,9.0,1.0,32.0,18.55,3.35,32.25,9.2,101.33
62,41.0,27.0,23.0,18.63,4.05,31.86,10.32,101.33
63,31.0,8.0,33.0,18.71,4.75,31.47,11.43,101.33
64,80.0,38.0,52.0,18.87,4.7,30.63,14.41,101.34
65,7.0,27.0,59.0,19.03,4.64,29.79,17.39,101.34
66,13.0,4.0,41.0,19.02,4.39,29.64,19.8,101.34
67,42.0,18.0,36.0,19.0,4.14,29.5,22.22,101.35
68,72.0,21.0,26.0,19.04,4.35,29.16,23.32,101.35
69,21.0,33.0,21.0,19.07,4.57,28.81,24.43,101.35
70,14.0,4.0,51.0,19.11,4.78,28.47,25.53,101.35
71,16.0,19.0,51.0,19.11,4.28,28.2,22.9,101.35
72,11.0,9.0,26.0,19.1,3.78,27.92,20.26,101.36
73,7.0,17.0,52.0,19.1,3.28,27.65,17.63,101.36
74,56.0,3.0,64.0,19.1,2.78,27.38,15.0,101.37
75,42.0,19.0,55.0,18.87,2.01,27.66,11.76,101.37
76,78.0,41.0,70.0,18.64,1.25,27.93,8.51,101.37
77,16.0,37.0,48.0,18.48,1.41,28.11,9.76,101.36
78,87.0,14.0,21.0,18.31,1.57,28.29,11.01,101.36
79,22.0,22.0,55.0,18.46,1.6,27.32,9.73,101.36
80,77.0,41.0,47.0,18.62,1.62,26.36,8.45,101.37
81,45.0,31.0,65.0,18.72,2.07,25.4,12.74,101.38
82,84.0,39.0,50.0,18.81,2.52,24.45,17.02,101.38
83,12.0,3.0,43.0,19.04,2.4,23.14,16.62,101.38
84,17.0,40.0,57.0,19.27,2.27,21.83,16.22,101.39
85,12.0,35.0,34.0,19.36,2.78,21.06,17.78,101.4
86,6.0,40.0,44.0,19.45,3.29,20.29,19.35,101.41
87,21.0,4.0,48.0,19.42,3.01,20.58,15.58,101.42
88,71.0,41.0,49.0,19.38,2.73,20.88,11.82,101.43
89,17.0,27.0,40.0,19.33,2.82,21.33,12.31,101.44
90,67.0,24.0,31.0,19.28,2.9,21.78,12.8,101.44
91,34.0,24.0,63.0,19.24,2.98,22.22,13.3,101.44
92,68.0,13.0,57.0,19.19,3.07,22.67,13.79,101.45
93,52.0,3.0,35.0,19.26,3.0,22.7,14.9,101.46
94,80.0,18.0,24.0,19.32,2.92,22.74,16.0,101.46
95,11.0,11.0,29.0,19.6,3.24,22.42,16.63,101.46
96,63.0,27.0,26.0,19.89,3.57,22.11,17.27,101.46
97,88.0,43.0,58.0,20.28,3.55,22.04,17.8,101.46
